0.120634921,kd,p,ə
0.586394558,kd,p,ə
0.743038549,kd,p,ə
1.422222222,sd,!,x
2.064399093,sd,!,x
2.692426304,kd,p,ə
3.208888889,kd,p,ə
3.365079365,kd,p,ə
4.001814059,sd,!,x
4.710385488,sd,!,x
5.338956916,hhc,t,i
5.831111111,hho,s,x
6.626031746,hhc,t,h
7.153015873,hho,s,x
7.93324263,hhc,t,i
8.492698413,hho,s,x
9.206712018,kd,p,ə
9.683446712,sd,!,x
9.854875283,sd,!,x
10.548752834,hhc,t,i
11.073015873,hho,s,x
11.805895692,hhc,t,i
12.401814059,hho,s,x
13.115283447,hhc,t,i
13.648253968,hho,s,x
14.423038549,kd,p,ə
14.963809524,hhc,t,i
15.533968254,hho,s,x
